,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,1stFlrSF,2ndFlrSF,SalePrice,Total Years
0,5,3,65.0,8450,1,3,856,854,208500,17
1,0,3,80.0,9600,1,3,1262,0,181500,44
2,5,3,68.0,11250,1,0,920,866,223500,19
3,6,3,60.0,9550,1,0,961,756,140000,105
4,5,3,84.0,14260,1,0,1145,1053,250000,20
5,4,3,85.0,14115,1,0,796,566,143000,27
6,0,3,75.0,10084,1,3,1694,0,307000,16
8,4,4,51.0,6120,1,3,1022,752,129900,89
9,14,3,50.0,7420,1,3,1077,0,118000,81
10,0,3,70.0,11200,1,3,1040,0,129500,55
11,5,3,85.0,11924,1,0,1182,1142,345000,15
13,0,3,91.0,10652,1,0,1494,0,279500,14
15,3,4,51.0,6120,1,3,854,0,132000,91
17,10,3,72.0,10791,1,3,1296,0,90000,53
18,0,3,66.0,13695,1,3,1114,0,159000,16
19,0,3,70.0,7560,1,3,1339,0,139000,62
20,5,3,101.0,14215,1,0,1158,1218,325300,15
21,3,4,57.0,7449,1,3,1108,0,139400,90
22,0,3,75.0,9742,1,3,1795,0,230000,18
23,11,4,44.0,4224,1,3,1060,0,129900,44
25,0,3,110.0,14230,1,3,1600,0,256300,13
26,0,3,60.0,7200,1,3,900,0,134800,69
27,0,3,98.0,11478,1,3,1704,0,306000,13
28,0,3,47.0,16321,1,0,1600,0,207500,63
29,1,4,60.0,6324,1,0,520,0,68500,93
30,6,0,50.0,8500,1,3,649,668,40000,100
32,0,3,85.0,11049,1,3,1234,0,179900,13
33,0,3,70.0,10552,1,0,1700,0,165500,61
34,11,3,60.0,7313,1,3,1561,0,277500,15
35,5,3,108.0,13418,1,3,1132,1320,309000,16
36,0,3,112.0,10859,1,3,1097,0,145000,26
37,0,3,74.0,8532,1,3,1297,0,153000,66
38,0,3,68.0,7922,1,3,1057,0,109000,67
39,10,3,65.0,6040,1,3,1152,0,82000,65
40,0,3,84.0,8658,1,3,1324,0,160000,55
41,0,3,115.0,16905,1,3,1328,0,170000,61
